,per_it_avg_total_length,per_it_best_total_length,per_it_best_max_car_length,per_it_best_min_car_length,per_it_avg_max_path_length,per_it_avg_fitness,per_it_best_fitness
5674,43124.190786478226,38733.04406241046,1756.3011367849526,0.0,4783.321986312527,266553821.01284426,68026889.31795315
5675,44356.79206752344,38733.04406241046,1756.3011367849526,0.0,6936.974658056808,355149258.5725824,68026889.31795315
5676,42510.401241496664,38733.04406241046,1756.3011367849526,0.0,4948.569418747094,230600688.791159,68026889.31795315
5677,45320.646088069436,38733.04406241046,1756.3011367849526,0.0,5928.375053058816,308130164.63281655,68026889.31795315
5678,41134.91407585905,38733.04406241046,1756.3011367849526,0.0,3985.175447890758,181181769.51906586,68026889.31795315
5679,40269.314599689256,38733.04406241046,1756.3011367849526,0.0,2988.2392642959476,130606457.956408,68026889.31795315
5680,41251.813749631554,38733.04406241046,1756.3011367849526,0.0,4069.5367150782936,204478650.7571531,68026889.31795315
5681,42338.24446255703,38733.04406241046,1756.3011367849526,0.0,5148.5946954047595,240725533.70613557,68026889.31795315
5682,41304.130819346916,38733.04406241046,1756.3011367849526,0.0,4005.792073269852,182315512.19109973,68026889.31795315
5683,40700.895854645074,38733.04406241046,1756.3011367849526,0.0,3167.409787098095,138406854.45357037,68026889.31795315
5684,40198.834749412476,38733.04406241046,1756.3011367849526,0.0,3133.6861754247875,134967703.27713057,68026889.31795315
5685,42353.22798574697,38733.04406241046,1756.3011367849526,0.0,4966.218836531826,233788809.71018153,68026889.31795315
5686,41090.25099909556,38733.04406241046,1756.3011367849526,0.0,3924.3177595117036,179428526.10460386,68026889.31795315
5687,41647.11593873326,38733.04406241046,1756.3011367849526,0.0,4355.468386673698,196690617.80500406,68026889.31795315
5688,45352.83780689058,38733.04406241046,1756.3011367849526,0.0,6748.149497260965,356394941.1903411,68026889.31795315
5689,41737.191421844196,38733.04406241046,1756.3011367849526,0.0,3954.2420637589653,179802680.36120695,68026889.31795315
5690,40224.85951560568,38733.04406241046,1756.3011367849526,0.0,3051.984546015157,131638453.7365473,68026889.31795315
